mobility_key,province,subregion,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,date
726,Ontario,Toronto Division,-59,-30,-34,-71,-58,25,1/20/2021
727,Ontario,Toronto Division,-57,-22,-21,-70,-56,24,1/21/2021
728,Ontario,Toronto Division,-58,-25,-33,-69,-56,25,1/22/2021
729,Ontario,Toronto Division,-55,-19,-2,-62,-25,14,1/23/2021
730,Ontario,Toronto Division,-58,-26,-6,-64,-29,11,1/24/2021
731,Ontario,Toronto Division,-57,-24,-12,-70,-57,23,1/25/2021
732,Ontario,Toronto Division,-66,-41,-37,-71,-59,25,1/26/2021
733,Ontario,Toronto Division,-57,-24,-22,-69,-57,24,1/27/2021
734,Ontario,Toronto Division,-58,-25,-38,-70,-56,25,1/28/2021
735,Ontario,Toronto Division,-57,-24,-38,-69,-56,25,1/29/2021
736,Ontario,Toronto Division,-53,-15,20,-61,-23,13,1/30/2021
737,Ontario,Toronto Division,-57,-25,-17,-64,-28,11,1/31/2021
738,Ontario,Toronto Division,-57,-25,-32,-70,-57,23,2/1/2021
739,Ontario,Toronto Division,-57,-24,-29,-70,-57,23,2/2/2021
740,Ontario,Toronto Division,-56,-24,-17,-70,-56,23,2/3/2021
741,Ontario,Toronto Division,-54,-17,-2,-69,-55,23,2/4/2021
742,Ontario,Toronto Division,-58,-27,-42,-70,-55,25,2/5/2021
743,Ontario,Toronto Division,-55,-19,-22,-63,-23,14,2/6/2021
