mobility_key,province,subregion,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
70,Ontario,Ottawa Division,-28.0,-6.0,-43.0,-67.0,-50.0,19.0
71,Ontario,Ottawa Division,-30.0,-8.0,-45.0,-69.0,-50.0,20.0
72,Ontario,Ottawa Division,-22.0,4.0,-36.0,-65.0,-49.0,19.0
73,Ontario,Ottawa Division,-28.0,-3.0,-24.0,-62.0,-45.0,19.0
74,Ontario,Ottawa Division,-20.0,5.0,-2.0,-50.0,-2.0,7.0
75,Ontario,Ottawa Division,-21.0,2.0,5.0,-55.0,2.0,6.0
76,Ontario,Ottawa Division,-8.0,25.0,-14.0,-65.0,-59.0,18.0
77,Ontario,Ottawa Division,-9.0,30.0,-33.0,-65.0,-57.0,18.0
78,Ontario,Ottawa Division,-9.0,40.0,-31.0,-66.0,-57.0,18.0
79,Ontario,Ottawa Division,-26.0,28.0,-47.0,-70.0,-67.0,20.0
80,Ontario,Ottawa Division,-88.0,-83.0,-49.0,-87.0,-85.0,28.0
81,Ontario,Ottawa Division,-68.0,-50.0,-23.0,-74.0,-37.0,13.0
82,Ontario,Ottawa Division,-53.0,-26.0,15.0,-69.0,-19.0,9.0
83,Ontario,Ottawa Division,-53.0,-23.0,-28.0,-81.0,-78.0,27.0
84,Ontario,Ottawa Division,-47.0,-10.0,-30.0,-77.0,-69.0,25.0
85,Ontario,Ottawa Division,-46.0,-3.0,-26.0,-77.0,-69.0,26.0
86,Ontario,Ottawa Division,-38.0,14.0,-16.0,-76.0,-71.0,25.0
87,Ontario,Ottawa Division,-83.0,-77.0,-7.0,-86.0,-86.0,33.0
88,Ontario,Ottawa Division,-54.0,-23.0,49.0,-65.0,-26.0,13.0
89,Ontario,Ottawa Division,-48.0,-15.0,29.0,-65.0,-16.0,10.0
90,Ontario,Ottawa Division,-47.0,-15.0,-24.0,-75.0,-62.0,23.0
91,Ontario,Ottawa Division,-49.0,-17.0,-33.0,-73.0,-61.0,24.0
92,Ontario,Ottawa Division,-50.0,-18.0,-33.0,-75.0,-60.0,24.0
93,Ontario,Ottawa Division,-49.0,-15.0,-36.0,-74.0,-60.0,25.0
94,Ontario,Ottawa Division,-52.0,-20.0,-27.0,-73.0,-57.0,25.0
95,Ontario,Ottawa Division,-50.0,-13.0,25.0,-67.0,-20.0,12.0
96,Ontario,Ottawa Division,-48.0,-14.0,25.0,-68.0,-17.0,9.0
97,Ontario,Ottawa Division,-51.0,-20.0,-26.0,-76.0,-62.0,24.0
98,Ontario,Ottawa Division,-50.0,-16.0,-33.0,-75.0,-60.0,24.0
99,Ontario,Ottawa Division,-50.0,-16.0,-43.0,-75.0,-61.0,24.0
100,Ontario,Ottawa Division,-57.0,-26.0,-46.0,-77.0,-64.0,26.0
101,Ontario,Ottawa Division,-56.0,-20.0,-36.0,-76.0,-61.0,27.0
102,Ontario,Ottawa Division,-66.0,-41.0,-6.0,-72.0,-33.0,15.0
103,Ontario,Ottawa Division,-53.0,-21.0,12.0,-71.0,-25.0,11.0
104,Ontario,Ottawa Division,-55.0,-27.0,-35.0,-78.0,-65.0,25.0
105,Ontario,Ottawa Division,-56.0,-27.0,-44.0,-77.0,-64.0,25.0
106,Ontario,Ottawa Division,-56.0,-26.0,-44.0,-78.0,-63.0,26.0
107,Ontario,Ottawa Division,-57.0,-30.0,-44.0,-76.0,-64.0,26.0
108,Ontario,Ottawa Division,-54.0,-21.0,-28.0,-75.0,-60.0,27.0
109,Ontario,Ottawa Division,-54.0,-19.0,-18.0,-72.0,-27.0,13.0
110,Ontario,Ottawa Division,-53.0,-21.0,-14.0,-74.0,-25.0,11.0
111,Ontario,Ottawa Division,-55.0,-28.0,-37.0,-77.0,-65.0,25.0
112,Ontario,Ottawa Division,-56.0,-27.0,-41.0,-77.0,-63.0,25.0
113,Ontario,Ottawa Division,-55.0,-25.0,-32.0,-76.0,-63.0,25.0
114,Ontario,Ottawa Division,-53.0,-22.0,-47.0,-76.0,-63.0,26.0
115,Ontario,Ottawa Division,-55.0,-23.0,-43.0,-76.0,-60.0,27.0
116,Ontario,Ottawa Division,-51.0,-15.0,3.0,-71.0,-25.0,13.0
117,Ontario,Ottawa Division,-49.0,-15.0,18.0,-72.0,-22.0,10.0
118,Ontario,Ottawa Division,-51.0,-20.0,-24.0,-76.0,-60.0,23.0
119,Ontario,Ottawa Division,-53.0,-22.0,-33.0,-75.0,-59.0,23.0
120,Ontario,Ottawa Division,-52.0,-20.0,-22.0,-76.0,-58.0,23.0
121,Ontario,Ottawa Division,-48.0,-15.0,-10.0,-74.0,-58.0,23.0
122,Ontario,Ottawa Division,-55.0,-25.0,-26.0,-75.0,-55.0,25.0
123,Ontario,Ottawa Division,-49.0,-13.0,38.0,-71.0,-23.0,12.0
124,Ontario,Regional Municipality of Durham,-13.0,4.0,23.0,-54.0,-39.0,12.0
125,Ontario,Regional Municipality of Durham,-14.0,3.0,-5.0,-58.0,-36.0,13.0
126,Ontario,Regional Municipality of Durham,-11.0,13.0,20.0,-54.0,-36.0,12.0
127,Ontario,Regional Municipality of Durham,-13.0,11.0,33.0,-47.0,-35.0,11.0
128,Ontario,Regional Municipality of Durham,-16.0,9.0,94.0,-28.0,-3.0,4.0
129,Ontario,Regional Municipality of Durham,-14.0,5.0,74.0,-31.0,-6.0,3.0
130,Ontario,Regional Municipality of Durham,-58.0,-52.0,61.0,-75.0,-81.0,23.0
131,Ontario,Regional Municipality of Durham,-13.0,5.0,35.0,-53.0,-39.0,12.0
132,Ontario,Regional Municipality of Durham,-13.0,1.0,32.0,-57.0,-35.0,13.0
133,Ontario,Regional Municipality of Durham,-18.0,-2.0,-29.0,-58.0,-37.0,15.0
134,Ontario,Regional Municipality of Durham,-15.0,0.0,17.0,-51.0,-33.0,12.0
135,Ontario,Regional Municipality of Durham,-11.0,4.0,101.0,-26.0,0.0,5.0
136,Ontario,Regional Municipality of Durham,-13.0,-3.0,31.0,-31.0,-6.0,5.0
137,Ontario,Regional Municipality of Durham,-18.0,-4.0,-14.0,-59.0,-37.0,14.0
138,Ontario,Regional Municipality of Durham,-12.0,2.0,16.0,-55.0,-38.0,13.0
139,Ontario,Regional Municipality of Durham,-13.0,0.0,-2.0,-59.0,-35.0,14.0
140,Ontario,Regional Municipality of Durham,-14.0,4.0,5.0,-56.0,-35.0,14.0
141,Ontario,Regional Municipality of Durham,-14.0,-3.0,49.0,-51.0,-32.0,12.0
142,Ontario,Regional Municipality of Durham,-11.0,4.0,53.0,-31.0,-1.0,5.0
143,Ontario,Regional Municipality of Durham,-8.0,-1.0,31.0,-30.0,-4.0,5.0
144,Ontario,Regional Municipality of Durham,-14.0,0.0,-1.0,-59.0,-37.0,13.0
145,Ontario,Regional Municipality of Durham,-16.0,-2.0,-23.0,-58.0,-37.0,14.0
146,Ontario,Regional Municipality of Durham,-9.0,4.0,11.0,-57.0,-33.0,13.0
147,Ontario,Regional Municipality of Durham,-12.0,5.0,-9.0,-55.0,-34.0,13.0
148,Ontario,Regional Municipality of Durham,-12.0,3.0,-11.0,-51.0,-32.0,13.0
149,Ontario,Regional Municipality of Durham,-10.0,11.0,45.0,-27.0,0.0,5.0
150,Ontario,Regional Municipality of Durham,-16.0,-5.0,-31.0,-34.0,-8.0,6.0
151,Ontario,Regional Municipality of Durham,-16.0,-3.0,-19.0,-59.0,-36.0,14.0
152,Ontario,Regional Municipality of Durham,-15.0,-1.0,-15.0,-56.0,-37.0,14.0
153,Ontario,Regional Municipality of Durham,-14.0,-3.0,16.0,-56.0,-33.0,13.0
154,Ontario,Regional Municipality of Durham,-14.0,1.0,18.0,-55.0,-34.0,13.0
155,Ontario,Regional Municipality of Durham,-15.0,-4.0,19.0,-54.0,-31.0,13.0
156,Ontario,Regional Municipality of Durham,-9.0,2.0,114.0,-30.0,0.0,5.0
157,Ontario,Regional Municipality of Durham,-5.0,-1.0,104.0,-31.0,-3.0,4.0
158,Ontario,Regional Municipality of Durham,-13.0,-1.0,35.0,-61.0,-34.0,13.0
159,Ontario,Regional Municipality of Durham,-10.0,0.0,36.0,-57.0,-36.0,12.0
160,Ontario,Regional Municipality of Durham,-8.0,2.0,17.0,-57.0,-36.0,14.0
161,Ontario,Regional Municipality of Durham,-11.0,3.0,10.0,-58.0,-34.0,13.0
162,Ontario,Regional Municipality of Durham,-14.0,-3.0,-14.0,-54.0,-35.0,14.0
163,Ontario,Regional Municipality of Durham,-11.0,6.0,50.0,-30.0,-1.0,6.0
164,Ontario,Regional Municipality of Durham,-18.0,-11.0,-38.0,-40.0,-10.0,7.0
165,Ontario,Regional Municipality of Durham,-15.0,-4.0,-20.0,-62.0,-36.0,14.0
166,Ontario,Regional Municipality of Durham,-15.0,-6.0,-20.0,-59.0,-37.0,14.0
167,Ontario,Regional Municipality of Durham,-12.0,-1.0,-22.0,-61.0,-34.0,14.0
168,Ontario,Regional Municipality of Durham,-12.0,3.0,-5.0,-59.0,-34.0,14.0
169,Ontario,Regional Municipality of Durham,-12.0,1.0,12.0,-53.0,-33.0,14.0
170,Ontario,Regional Municipality of Durham,-8.0,11.0,13.0,-31.0,-1.0,6.0
171,Ontario,Regional Municipality of Durham,-21.0,-12.0,-38.0,-40.0,-9.0,8.0
172,Ontario,Regional Municipality of Durham,-16.0,-2.0,-19.0,-61.0,-36.0,15.0
173,Ontario,Regional Municipality of Durham,-14.0,0.0,-23.0,-60.0,-37.0,15.0
174,Ontario,Regional Municipality of Durham,-14.0,-3.0,-31.0,-61.0,-35.0,15.0
175,Ontario,Regional Municipality of Durham,-10.0,7.0,-15.0,-57.0,-36.0,15.0
176,Ontario,Regional Municipality of Durham,-14.0,1.0,-15.0,-51.0,-35.0,15.0
177,Ontario,Regional Municipality of Durham,-9.0,9.0,41.0,-28.0,-2.0,7.0
178,Ontario,Regional Municipality of Durham,-7.0,2.0,34.0,-34.0,-6.0,6.0
179,Ontario,Regional Municipality of Durham,-16.0,-4.0,-39.0,-63.0,-37.0,16.0
180,Ontario,Regional Municipality of Durham,-18.0,-1.0,-36.0,-63.0,-39.0,16.0
181,Ontario,Regional Municipality of Durham,-13.0,3.0,-20.0,-62.0,-34.0,15.0
182,Ontario,Regional Municipality of Durham,-13.0,6.0,-14.0,-60.0,-35.0,15.0
183,Ontario,Regional Municipality of Durham,-22.0,-5.0,-37.0,-59.0,-34.0,17.0
184,Ontario,Regional Municipality of Durham,-12.0,9.0,6.0,-34.0,-5.0,8.0
185,Ontario,Regional Municipality of Durham,-11.0,2.0,5.0,-40.0,-7.0,7.0
186,Ontario,Regional Municipality of Durham,-14.0,0.0,-19.0,-63.0,-36.0,15.0
187,Ontario,Regional Municipality of Durham,-14.0,2.0,-20.0,-60.0,-36.0,15.0
188,Ontario,Regional Municipality of Durham,-19.0,-5.0,-33.0,-63.0,-36.0,16.0
189,Ontario,Regional Municipality of Durham,-11.0,10.0,-17.0,-60.0,-35.0,15.0
190,Ontario,Regional Municipality of Durham,-14.0,3.0,-9.0,-54.0,-33.0,15.0
191,Ontario,Regional Municipality of Durham,-15.0,7.0,-15.0,-32.0,-5.0,9.0
192,Ontario,Regional Municipality of Durham,-9.0,5.0,-2.0,-35.0,-8.0,7.0
193,Ontario,Regional Municipality of Durham,-10.0,9.0,-19.0,-61.0,-37.0,15.0
194,Ontario,Regional Municipality of Durham,-7.0,9.0,-24.0,-59.0,-37.0,15.0
195,Ontario,Regional Municipality of Durham,-9.0,5.0,-37.0,-61.0,-35.0,16.0
196,Ontario,Regional Municipality of Durham,-6.0,20.0,-20.0,-56.0,-35.0,15.0
197,Ontario,Regional Municipality of Durham,-11.0,11.0,-17.0,-53.0,-34.0,15.0
198,Ontario,Regional Municipality of Durham,-10.0,15.0,7.0,-26.0,-3.0,8.0
199,Ontario,Regional Municipality of Durham,-6.0,9.0,-13.0,-31.0,-6.0,7.0
200,Ontario,Regional Municipality of Durham,7.0,37.0,-4.0,-55.0,-44.0,15.0
201,Ontario,Regional Municipality of Durham,11.0,44.0,-7.0,-53.0,-47.0,15.0
202,Ontario,Regional Municipality of Durham,18.0,60.0,-5.0,-53.0,-46.0,15.0
203,Ontario,Regional Municipality of Durham,-7.0,51.0,-29.0,-62.0,-63.0,20.0
204,Ontario,Regional Municipality of Durham,-88.0,-79.0,-44.0,-88.0,-86.0,29.0
205,Ontario,Regional Municipality of Durham,-63.0,-48.0,-13.0,-67.0,-43.0,14.0
206,Ontario,Regional Municipality of Durham,-46.0,-29.0,-5.0,-60.0,-26.0,11.0
207,Ontario,Regional Municipality of Durham,-39.0,-14.0,-21.0,-78.0,-73.0,27.0
208,Ontario,Regional Municipality of Durham,-31.0,-3.0,-2.0,-73.0,-61.0,23.0
209,Ontario,Regional Municipality of Durham,-30.0,5.0,-40.0,-74.0,-59.0,24.0
210,Ontario,Regional Municipality of Durham,-23.0,26.0,0.0,-73.0,-64.0,23.0
211,Ontario,Regional Municipality of Durham,-77.0,-73.0,-13.0,-88.0,-85.0,33.0
212,Ontario,Regional Municipality of Durham,-46.0,-18.0,24.0,-62.0,-28.0,14.0
213,Ontario,Regional Municipality of Durham,-45.0,-23.0,-18.0,-62.0,-23.0,12.0
214,Ontario,Regional Municipality of Durham,-38.0,-12.0,-21.0,-73.0,-46.0,20.0
215,Ontario,Regional Municipality of Durham,-39.0,-12.0,-31.0,-72.0,-47.0,20.0
216,Ontario,Regional Municipality of Durham,-40.0,-15.0,-32.0,-73.0,-45.0,20.0
217,Ontario,Regional Municipality of Durham,-40.0,-9.0,-17.0,-71.0,-45.0,20.0
218,Ontario,Regional Municipality of Durham,-42.0,-16.0,-27.0,-70.0,-44.0,21.0
219,Ontario,Regional Municipality of Durham,-40.0,-7.0,37.0,-60.0,-17.0,12.0
220,Ontario,Regional Municipality of Durham,-42.0,-17.0,7.0,-62.0,-19.0,11.0
221,Ontario,Regional Municipality of Durham,-42.0,-16.0,-26.0,-73.0,-45.0,20.0
222,Ontario,Regional Municipality of Durham,-40.0,-11.0,-32.0,-72.0,-47.0,20.0
223,Ontario,Regional Municipality of Durham,-38.0,-7.0,-30.0,-74.0,-45.0,19.0
224,Ontario,Regional Municipality of Durham,-50.0,-20.0,-27.0,-77.0,-49.0,21.0
225,Ontario,Regional Municipality of Durham,-50.0,-24.0,-37.0,-77.0,-48.0,23.0
226,Ontario,Regional Municipality of Durham,-48.0,-16.0,36.0,-70.0,-23.0,14.0
227,Ontario,Regional Municipality of Durham,-48.0,-22.0,0.0,-72.0,-23.0,12.0
228,Ontario,Regional Municipality of Durham,-47.0,-23.0,-25.0,-77.0,-49.0,20.0
229,Ontario,Regional Municipality of Durham,-46.0,-20.0,-31.0,-76.0,-50.0,21.0
230,Ontario,Regional Municipality of Durham,-45.0,-22.0,-37.0,-76.0,-48.0,21.0
231,Ontario,Regional Municipality of Durham,-44.0,-15.0,-28.0,-75.0,-48.0,21.0
232,Ontario,Regional Municipality of Durham,-45.0,-19.0,-37.0,-74.0,-47.0,22.0
233,Ontario,Regional Municipality of Durham,-45.0,-12.0,2.0,-67.0,-21.0,13.0
234,Ontario,Regional Municipality of Durham,-46.0,-23.0,-4.0,-68.0,-23.0,11.0
235,Ontario,Regional Municipality of Durham,-43.0,-19.0,-10.0,-76.0,-48.0,20.0
236,Ontario,Regional Municipality of Durham,-54.0,-33.0,-47.0,-78.0,-51.0,22.0
237,Ontario,Regional Municipality of Durham,-43.0,-17.0,-30.0,-77.0,-47.0,21.0
238,Ontario,Regional Municipality of Durham,-45.0,-16.0,-40.0,-78.0,-48.0,21.0
239,Ontario,Regional Municipality of Durham,-44.0,-19.0,-44.0,-77.0,-46.0,22.0
240,Ontario,Regional Municipality of Durham,-41.0,-9.0,25.0,-70.0,-18.0,12.0
241,Ontario,Regional Municipality of Durham,-43.0,-19.0,-7.0,-73.0,-21.0,11.0
242,Ontario,Regional Municipality of Durham,-42.0,-18.0,-25.0,-78.0,-47.0,20.0
243,Ontario,Regional Municipality of Durham,-42.0,-19.0,-32.0,-77.0,-48.0,20.0
244,Ontario,Regional Municipality of Durham,-41.0,-17.0,-28.0,-76.0,-45.0,20.0
245,Ontario,Regional Municipality of Durham,-39.0,-10.0,1.0,-74.0,-46.0,20.0
246,Ontario,Regional Municipality of Durham,-47.0,-24.0,-49.0,-76.0,-46.0,22.0
247,Ontario,Regional Municipality of Durham,-43.0,-9.0,-9.0,-67.0,-17.0,12.0
248,Ontario,Regional Municipality of Halton,-21.0,4.0,116.0,-55.0,-43.0,15.0
249,Ontario,Regional Municipality of Halton,-19.0,4.0,63.0,-57.0,-44.0,17.0
250,Ontario,Regional Municipality of Halton,-18.0,9.0,86.0,-55.0,-42.0,16.0
251,Ontario,Regional Municipality of Halton,-18.0,13.0,123.0,-50.0,-41.0,14.0
252,Ontario,Regional Municipality of Halton,-21.0,12.0,215.0,-29.0,-4.0,5.0
253,Ontario,Regional Municipality of Halton,-22.0,9.0,126.0,-24.0,-6.0,3.0
254,Ontario,Regional Municipality of Halton,-59.0,-54.0,259.0,-78.0,-85.0,25.0
255,Ontario,Regional Municipality of Halton,-21.0,8.0,133.0,-55.0,-43.0,15.0
256,Ontario,Regional Municipality of Halton,-16.0,4.0,107.0,-55.0,-44.0,17.0
257,Ontario,Regional Municipality of Halton,-22.0,-2.0,-1.0,-58.0,-43.0,19.0
258,Ontario,Regional Municipality of Halton,-18.0,3.0,97.0,-51.0,-40.0,16.0
259,Ontario,Regional Municipality of Halton,-13.0,10.0,246.0,-23.0,-2.0,6.0
260,Ontario,Regional Municipality of Halton,-18.0,0.0,82.0,-28.0,-8.0,6.0
261,Ontario,Regional Municipality of Halton,-24.0,-1.0,12.0,-59.0,-43.0,18.0
262,Ontario,Regional Municipality of Halton,-21.0,2.0,86.0,-55.0,-42.0,16.0
263,Ontario,Regional Municipality of Halton,-19.0,0.0,53.0,-56.0,-44.0,18.0
264,Ontario,Regional Municipality of Halton,-19.0,1.0,39.0,-55.0,-42.0,18.0
265,Ontario,Regional Municipality of Halton,-18.0,-1.0,153.0,-50.0,-40.0,15.0
266,Ontario,Regional Municipality of Halton,-14.0,7.0,139.0,-26.0,-2.0,7.0
267,Ontario,Regional Municipality of Halton,-15.0,1.0,65.0,-25.0,-6.0,6.0
268,Ontario,Regional Municipality of Halton,-22.0,2.0,42.0,-55.0,-42.0,17.0
269,Ontario,Regional Municipality of Halton,-22.0,1.0,27.0,-56.0,-42.0,17.0
270,Ontario,Regional Municipality of Halton,-15.0,4.0,74.0,-56.0,-43.0,17.0
271,Ontario,Regional Municipality of Halton,-18.0,4.0,26.0,-56.0,-41.0,17.0
272,Ontario,Regional Municipality of Halton,-18.0,4.0,16.0,-54.0,-40.0,16.0
273,Ontario,Regional Municipality of Halton,-16.0,10.0,120.0,-24.0,-1.0,7.0
274,Ontario,Regional Municipality of Halton,-21.0,-2.0,-13.0,-32.0,-10.0,7.0
275,Ontario,Regional Municipality of Halton,-23.0,-1.0,18.0,-57.0,-42.0,17.0
276,Ontario,Regional Municipality of Halton,-23.0,-4.0,32.0,-57.0,-42.0,17.0
277,Ontario,Regional Municipality of Halton,-18.0,-6.0,91.0,-56.0,-42.0,17.0
278,Ontario,Regional Municipality of Halton,-18.0,-1.0,74.0,-55.0,-40.0,17.0
279,Ontario,Regional Municipality of Halton,-17.0,-2.0,108.0,-52.0,-38.0,16.0
280,Ontario,Regional Municipality of Halton,-12.0,1.0,255.0,-26.0,-1.0,5.0
281,Ontario,Regional Municipality of Halton,-11.0,1.0,209.0,-23.0,-4.0,4.0
282,Ontario,Regional Municipality of Halton,-20.0,0.0,119.0,-56.0,-41.0,16.0
283,Ontario,Regional Municipality of Halton,-18.0,2.0,145.0,-56.0,-41.0,16.0
284,Ontario,Regional Municipality of Halton,-13.0,3.0,77.0,-57.0,-44.0,17.0
285,Ontario,Regional Municipality of Halton,-18.0,3.0,56.0,-55.0,-41.0,17.0
286,Ontario,Regional Municipality of Halton,-17.0,0.0,32.0,-52.0,-40.0,17.0
287,Ontario,Regional Municipality of Halton,-16.0,8.0,117.0,-29.0,-2.0,8.0
288,Ontario,Regional Municipality of Halton,-25.0,-10.0,-41.0,-38.0,-13.0,8.0
289,Ontario,Regional Municipality of Halton,-26.0,-2.0,6.0,-60.0,-43.0,18.0
290,Ontario,Regional Municipality of Halton,-26.0,-3.0,6.0,-59.0,-43.0,18.0
291,Ontario,Regional Municipality of Halton,-22.0,-2.0,7.0,-58.0,-44.0,19.0
292,Ontario,Regional Municipality of Halton,-21.0,2.0,38.0,-57.0,-41.0,18.0
293,Ontario,Regional Municipality of Halton,-19.0,3.0,80.0,-50.0,-40.0,17.0
294,Ontario,Regional Municipality of Halton,-18.0,10.0,62.0,-28.0,-4.0,8.0
295,Ontario,Regional Municipality of Halton,-35.0,-14.0,-43.0,-37.0,-16.0,10.0
296,Ontario,Regional Municipality of Halton,-23.0,2.0,-2.0,-58.0,-44.0,19.0
297,Ontario,Regional Municipality of Halton,-21.0,2.0,3.0,-57.0,-43.0,18.0
298,Ontario,Regional Municipality of Halton,-19.0,0.0,-11.0,-56.0,-44.0,20.0
299,Ontario,Regional Municipality of Halton,-13.0,6.0,19.0,-53.0,-42.0,18.0
300,Ontario,Regional Municipality of Halton,-14.0,6.0,24.0,-49.0,-45.0,18.0
301,Ontario,Regional Municipality of Halton,-12.0,14.0,116.0,-19.0,-5.0,9.0
302,Ontario,Regional Municipality of Halton,-12.0,6.0,97.0,-20.0,-10.0,7.0
303,Ontario,Regional Municipality of Halton,-22.0,0.0,-32.0,-59.0,-45.0,19.0
304,Ontario,Regional Municipality of Halton,-31.0,-8.0,-1.0,-59.0,-46.0,20.0
305,Ontario,Regional Municipality of Halton,-18.0,3.0,8.0,-54.0,-44.0,19.0
306,Ontario,Regional Municipality of Halton,-16.0,6.0,17.0,-54.0,-41.0,19.0
307,Ontario,Regional Municipality of Halton,-20.0,2.0,1.0,-48.0,-40.0,19.0
308,Ontario,Regional Municipality of Halton,-14.0,13.0,70.0,-15.0,-5.0,9.0
309,Ontario,Regional Municipality of Halton,-15.0,6.0,41.0,-11.0,-12.0,8.0
310,Ontario,Regional Municipality of Halton,-20.0,4.0,16.0,-55.0,-43.0,18.0
311,Ontario,Regional Municipality of Halton,-21.0,3.0,25.0,-56.0,-42.0,18.0
312,Ontario,Regional Municipality of Halton,-18.0,2.0,1.0,-54.0,-43.0,19.0
313,Ontario,Regional Municipality of Halton,-15.0,8.0,39.0,-53.0,-42.0,18.0
314,Ontario,Regional Municipality of Halton,-15.0,9.0,60.0,-47.0,-41.0,18.0
315,Ontario,Regional Municipality of Halton,-19.0,8.0,0.0,-21.0,-8.0,11.0
316,Ontario,Regional Municipality of Halton,-12.0,10.0,40.0,-16.0,-11.0,8.0
317,Ontario,Regional Municipality of Halton,-17.0,9.0,15.0,-54.0,-44.0,18.0
318,Ontario,Regional Municipality of Halton,-16.0,12.0,14.0,-53.0,-43.0,18.0
319,Ontario,Regional Municipality of Halton,-15.0,6.0,-9.0,-56.0,-45.0,20.0
320,Ontario,Regional Municipality of Halton,-11.0,13.0,5.0,-51.0,-43.0,19.0
321,Ontario,Regional Municipality of Halton,-12.0,13.0,26.0,-47.0,-41.0,18.0
322,Ontario,Regional Municipality of Halton,-12.0,20.0,49.0,-15.0,-7.0,10.0
323,Ontario,Regional Municipality of Halton,-8.0,16.0,32.0,-8.0,-11.0,8.0
324,Ontario,Regional Municipality of Halton,3.0,40.0,51.0,-50.0,-52.0,18.0
325,Ontario,Regional Municipality of Halton,5.0,46.0,45.0,-50.0,-52.0,18.0
326,Ontario,Regional Municipality of Halton,15.0,63.0,71.0,-47.0,-54.0,18.0
327,Ontario,Regional Municipality of Halton,-14.0,46.0,3.0,-57.0,-68.0,24.0
328,Ontario,Regional Municipality of Halton,-87.0,-79.0,25.0,-85.0,-89.0,32.0
329,Ontario,Regional Municipality of Halton,-69.0,-48.0,52.0,-64.0,-47.0,16.0
330,Ontario,Regional Municipality of Halton,-54.0,-21.0,63.0,-53.0,-29.0,11.0
331,Ontario,Regional Municipality of Halton,-49.0,-8.0,43.0,-77.0,-77.0,29.0
332,Ontario,Regional Municipality of Halton,-42.0,2.0,94.0,-71.0,-66.0,25.0
333,Ontario,Regional Municipality of Halton,-40.0,8.0,-11.0,-72.0,-67.0,27.0
334,Ontario,Regional Municipality of Halton,-35.0,26.0,86.0,-73.0,-70.0,26.0
335,Ontario,Regional Municipality of Halton,-82.0,-76.0,56.0,-87.0,-89.0,35.0
336,Ontario,Regional Municipality of Halton,-57.0,-16.0,77.0,-61.0,-31.0,15.0
337,Ontario,Regional Municipality of Halton,-56.0,-20.0,28.0,-59.0,-27.0,12.0
338,Ontario,Regional Municipality of Halton,-49.0,-8.0,14.0,-70.0,-53.0,23.0
339,Ontario,Regional Municipality of Halton,-49.0,-9.0,7.0,-70.0,-53.0,23.0
340,Ontario,Regional Municipality of Halton,-48.0,-12.0,15.0,-72.0,-54.0,24.0
341,Ontario,Regional Municipality of Halton,-49.0,-10.0,31.0,-70.0,-53.0,24.0
342,Ontario,Regional Municipality of Halton,-49.0,-13.0,10.0,-70.0,-51.0,24.0
343,Ontario,Regional Municipality of Halton,-50.0,-6.0,135.0,-56.0,-18.0,13.0
344,Ontario,Regional Municipality of Halton,-53.0,-12.0,56.0,-56.0,-24.0,11.0
345,Ontario,Regional Municipality of Halton,-52.0,-14.0,3.0,-70.0,-52.0,23.0
346,Ontario,Regional Municipality of Halton,-51.0,-12.0,-5.0,-71.0,-53.0,23.0
347,Ontario,Regional Municipality of Halton,-48.0,-8.0,3.0,-71.0,-54.0,23.0
348,Ontario,Regional Municipality of Halton,-58.0,-23.0,2.0,-74.0,-56.0,25.0
349,Ontario,Regional Municipality of Halton,-57.0,-23.0,-20.0,-75.0,-55.0,26.0
350,Ontario,Regional Municipality of Halton,-57.0,-13.0,111.0,-64.0,-24.0,15.0
351,Ontario,Regional Municipality of Halton,-59.0,-23.0,37.0,-67.0,-29.0,12.0
352,Ontario,Regional Municipality of Halton,-56.0,-21.0,6.0,-74.0,-56.0,24.0
353,Ontario,Regional Municipality of Halton,-57.0,-20.0,1.0,-75.0,-57.0,24.0
354,Ontario,Regional Municipality of Halton,-55.0,-22.0,-11.0,-74.0,-57.0,26.0
355,Ontario,Regional Municipality of Halton,-53.0,-15.0,8.0,-72.0,-56.0,25.0
356,Ontario,Regional Municipality of Halton,-54.0,-18.0,-12.0,-72.0,-54.0,25.0
357,Ontario,Regional Municipality of Halton,-54.0,-9.0,70.0,-63.0,-22.0,14.0
358,Ontario,Regional Municipality of Halton,-57.0,-18.0,42.0,-63.0,-26.0,12.0
359,Ontario,Regional Municipality of Halton,-54.0,-15.0,32.0,-74.0,-55.0,23.0
360,Ontario,Regional Municipality of Halton,-65.0,-38.0,-14.0,-76.0,-59.0,26.0
361,Ontario,Regional Municipality of Halton,-51.0,-15.0,16.0,-73.0,-56.0,25.0
362,Ontario,Regional Municipality of Halton,-52.0,-15.0,-8.0,-73.0,-55.0,25.0
363,Ontario,Regional Municipality of Halton,-53.0,-17.0,-9.0,-72.0,-53.0,25.0
364,Ontario,Regional Municipality of Halton,-51.0,-6.0,108.0,-62.0,-19.0,14.0
365,Ontario,Regional Municipality of Halton,-56.0,-17.0,15.0,-65.0,-24.0,12.0
366,Ontario,Regional Municipality of Halton,-54.0,-16.0,-6.0,-76.0,-55.0,24.0
367,Ontario,Regional Municipality of Halton,-53.0,-17.0,10.0,-74.0,-55.0,24.0
368,Ontario,Regional Municipality of Halton,-51.0,-17.0,36.0,-75.0,-55.0,24.0
369,Ontario,Regional Municipality of Halton,-50.0,-13.0,48.0,-73.0,-54.0,24.0
370,Ontario,Regional Municipality of Halton,-54.0,-21.0,-20.0,-72.0,-54.0,25.0
